track_id,track_name,artist_name,release_date,popularity
1dIWPXMX4kRHj6Dt2DStUQ,chosen (feat. ty dolla $ign),blxst,2020-12-04,76
5mVeslUjgyVDBUB0bPJr6R,close up,prophet the artist,2020-11-11,50
3FAJ6O0NOHQV8Mc5Ri6ENp,heartbreak anniversary,giveon,2020-03-27,92
5GkQIP5mWPi4KZLLXeuFTT,motive (with doja cat),ariana grande,2020-10-30,82
0ZquDRUoxvC4QXHlBfRePZ,alo michael - rico rico rico rico,los dioses del ritmo,2020-05-30,35
611p4K8eh3YlDLVKIwvNcE,razor blade flow,mak sauce,2020-04-10,42
6FuGJB290AQMAHTfjOYVaK,"mood (remix) feat. justin bieber, j balvin & iann dior",24kgoldn,2020-11-06,80
1eDyjPYw65g3wvQ7xJLF5c,boo!,championxiii,2020-10-16,63
6AGOKlMZWLCaEJGnaROtF9,put your records on,ritt momney,2020-04-24,85
3FxPbp05KjMBa4HbhAJTH0,sugarcrash!,elyotto,2020-08-25,64
3ERrX3hRQKZSN0fLFqpFU4,rebel,zum,2020-09-11,43
3AMxuq6id3YGB57eWeheZQ,don't rush (feat. dababy),young t & bugsey,2020-06-12,74
0sci7ppTZFm4mjcH3nu8yO,nasty,ariana grande,2020-10-30,71
463CkQjx2Zk1yXoBuierM9,levitating (feat. dababy),dua lipa,2020-10-01,92
1YLulCkIocAKDTPFths9at,renai circulation (english cover) [tv size],lizz robinett,2020-08-13,68
7AzlLxHn24DxjgQX73F9fU,no idea,don toliver,2020-03-13,81
4g7ErSF4oImNnITtyiFowz,what you know bout love,pop smoke,2020-07-03,53
3jRHehB5ulTMKfK5WaqDqc,what’s new,megan thee stallion,2020-11-20,77
4QaEs6elipvDmcBVEVGrAH,got it all,blxst,2020-11-20,62
1bqznRnSH33ByJEFd3pH1i,my neck el pasecito challenge,dj jac,2020-03-27,44
1KVQBPyORdhfITlixROtvC,be happy,dixie,2020-06-26,69
5XMhppJhtgjkd2SYDklhR9,for me,chase b,2020-10-23,68
4nZhS4vsnO50wnSyMJraBj,upside down (feat. charlie puth),jvke,2020-10-30,59
66vFlr5V4khlxqc1y3a8OX,de yang gatal gatal sa - dj desa remix,aldo bz,2020-10-30,55
0BlMpKkDLOFPV78CubL8nn,ke cap gap ba gia tiktok - dj tiktokker remix,piupiu,2020-12-18,45
1EUXDG92IvGineenvVwpQk,tamo loco to,mark b.,2020-01-22,58
78xj07VVFK5uHTaGPIu13S,buss it,erica banks,2020-05-15,68
2Lm41VRnYjEK5ElbuQ9AA7,friendships (lost my love) - atb remix,pascal letoublon,2020-12-18,57
5Bnh2sJPeQCdpoZD4UKzsX,cry baby (feat. dababy),megan thee stallion,2020-11-19,44
3PiATJqr7LzZfhKT9B18Rk,adderall (corvette corvette),popp hunna,2020-10-15,43
1SGhreIdQO3v7z6SOgEEHC,vibe for me (bob for me),aqyila,2020-12-26,60
2QG9Os7lsmfWFkNtkM91mt,girl like me,black eyed peas,2020-06-18,47
4Lt6GXGzYsa1tgkv3nGSTm,love not war (the tampa beat),jason derulo,2020-11-20,83
6tDDoYIxWvMLTdKpjFkc1B,telepatía,kali uchis,2020-12-04,94
6NWdgyVsjp2bJ11PToXCr1,buss it,erica banks,2020-05-15,39
3WKnUucKHVcLvzISJC7Pri,karma,drinche,2020-11-02,38
4jY3GWEqlrTALvVE1j7VHI,aesthetic,xilo,2020-02-14,67
18V1UiYRvWYwn01CRDbbuR,home,edith whiskers,2020-11-13,71
2SP6w6HeCkiKRahSCCGVGu,ya tabtab,drinche,2020-08-16,27
7CCCX50zGHMTuHsyKQy03l,dancing in my room,347aidan,2020-10-26,11
4aarlAfLKVCTxUDNgbwhjH,cry baby (feat. dababy),megan thee stallion,2020-11-20,80
0kpdD6AqC6dU06Ce9IELXB,sahara,drinche,2020-02-19,24
589Lt4lVKxd1qXOrPaAHkB,cloud 9,beach bunny,2020-02-14,62
7FngYjFnEU6fRYWTZbwoq9,plastic,unghetto mathieu,2020-05-29,67
7L6G0wpIUiPXuvoo7qhb06,oops!,yung gravy,2020-10-02,76
4E7ZbuJH3NddjnMWLstkRq,i am (feat. flo milli),yung baby tate,2020-12-04,72
3aA6xB0tOilDDX17fIJ0Bl,freak,doja cat,2020-08-07,77
27OeeYzk6klgBh83TSvGMA,without you,the kid laroi,2020-11-06,91
5siesK1gYQObYkJvDKaYb9,hayati,drinche,2020-05-03,18
7zkA4TSmYO1Bko2PnFn0YB,steven universe,l.dre,2020-02-21,67
4JLBDUYSaOMPYND0iWeSWQ,jenny (i wanna ruin our friendship),studio killers,2020-12-04,75
7CFfqRW50ffULvBv7lfIIg,violent,carolesdaughter,2020-11-23,78
5tfZ1uYrArdbDqiZ7z1aCE,space girl,frances forever,2020-03-27,19
0ymn3NBfT1W2QW0d7U5kHS,hadal ahbek,issam alnajjar,2020-09-27,46
3aAmQOxRPeKDL0HMWFA5qn,adderall (corvette corvette),popp hunna,2020-10-15,72
1fah1uAs7HeTYDlNftKr3K,put your records on,ritt momney,2020-04-24,4
0A1hoCfMLkiAgvhWkkucJa,body,megan thee stallion,2020-11-20,82
3rchFjeKZ0bJxO7EEdM3S5,paparazzi,kim dracula,2020-12-11,77
2ViSWfhT0kvEulXA1HH7Wk,sugar daddy,qveen herby,2020-05-26,71
6FUYkl8t6gKFT59NpQWuhr,mix it,moneymarr,2020-12-18,46
5vznxflwW1N2Yu142Z2HQs,cap,t3,2020-12-15,43
3rlUxMDbs9DFZn0NaFO305,sneaky link,hxllywood,2020-12-25,73
6r3Wa1lkJVEuc67aZhwO61,with my hoe!,c2d,2020-09-11,73
6Mfh9o1FjAiA3gU5q21OD6,everyday,sofaygo,2020-12-17,68
5m0eMnsWwzgGsUxe1mhFYR,white tee (with no1-noah),summer walker,2020-07-10,75
7JuHVG3qQKQKxC4doneXVW,back in blood (feat. lil durk),pooh shiesty,2020-11-06,81
3YJJjQPAbDT7mGpX3WtQ9A,good days,sza,2020-12-25,89
7upI4eeUGFQWpHvFF36p2G,jelly,big homie ty.ni,2020-12-11,62
0yqbODoDTXfE3hIkX8Gvcm,knicks,cochise,2020-11-20,63
6DaqBwun59rgzYEQROTbRv,triple s,yn jay,2020-09-12,56
7dH9TPjTWQ60wOJkmYay8a,blastoff (feat. juice wrld & trippie redd),internet money,2020-08-28,69
2Y3USTCETS4xbjJOzT1Icm,adderall (corvette corvette) - remix,popp hunna,2020-12-18,70
1xqRKo0SDFDO5Jy8yEVD0X,rollin n controllin freestyle,dusty locane,2020-08-07,79
1ogvLGGpa958nRTH1W9p2v,opp stoppa,ybn nahmir,2020-11-25,53
6aHoPULNO7pSL2ZfUY0bU8,knock knock,sofaygo,2020-01-10,81
4Iedi94TIaB2GGb1nMB68v,on me,lil baby,2020-12-04,82
1yTLac7KPcaHVVVmAFJgIO,beat box 2,spotemgottem,2020-12-18,29
7srEG9v7czAVq8kUzoHVGG,i’m single,popp hunna,2020-01-17,39
2mmS3Rt0SGEVB055Qebgwq,did you know?,luh baam,2020-11-24,22
14PR0pjBtKExCbUILkfohl,jumpman 4's,comethazine,2020-10-23,60
0anUgBvnA4u5LsHUeLRprc,tic tac,future,2020-11-13,67
1OrQrfK32wHeBemMY5Heob,ptpom,mohead mike,2020-09-06,35
2993VQSr7a2Dj5hI5xcWG0,do it on the tip (feat. city girls & hot girl meg),megan thee stallion,2020-11-20,68
44CLbt11tp9ZTJaKBhfI7e,pickles on my big mac,bop king,2020-12-08,14
1Gv1NMcPtuevHW4N4bN0gA,no guidance ayzha nyree - slowed,moon oa,2020-09-09,41
6Im9k8u9iIzKMrmV7BWtlF,34+35,ariana grande,2020-10-30,88
6WbTTAGKrQtCQvmc5BuYfh,girls in the hood,megan thee stallion,2020-06-26,74
4lsHZ92XCFOQfzJFBTluk8,you got it,vedo,2020-03-27,78
5cHLlC1KPtSpHprTahwhsO,talk n bout (talm bout) [feat. lil jay],loui,2020-01-03,23
13VXVxePp4NUiXwtmQ0viz,said sum (feat. city girls & dababy) - remix,moneybagg yo,2020-09-18,69
3yv7994DWTEk3ihwy75YBQ,don’t stop (feat. young thug),megan thee stallion,2020-10-02,64
3UoULw70kMsiVXxW0L3A33,pov,ariana grande,2020-10-30,81
6mQlQMnduTOBlXQ9jHhdCP,facts,4lilpat3,2020-10-17,0
2E79dyG3vXolWuWiEXqNMX,coffin,lil yachty,2020-10-23,62
0PvFJmanyNQMseIFrU708S,for the night (feat. lil baby & dababy),pop smoke,2020-07-03,86
4Z5FyQlevoHoa5FsIVKZju,practice,dababy,2020-08-04,76
6hLZzCS4E7AWo3PRBWy6az,whole lotta choppas,sada baby,2020-08-14,65
6EDO9iiTtwNv6waLwa1UUq,popstar (feat. drake),dj khaled,2020-07-17,83
1tkg4EHVoqnhR6iFEXb60y,what you know bout love,pop smoke,2020-07-03,87
7Bar1kLTmsRmH6FCKKMEyU,hit different,sza,2020-09-04,77
31iqpzg1ZXLLgq0L5iIwLe,throat baby (go baby),brs kash,2020-07-24,63
2UM09BKxJ3NM8qNxzNSdXV,coochie,yn jay,2020-08-09,1
3tjFYV6RSFtuktYl3ZtYcq,mood (feat. iann dior),24kgoldn,2020-07-24,75
0YYNIGKgAk34vZkV2NySie,thick,dj chose,2020-07-10,64
1RSzyxqtIO4yX3EyiV4zT5,whoopty,cj,2020-08-20,34
2SAqBLGA283SUiwJ3xOUVI,laugh now cry later (feat. lil durk),drake,2020-08-14,86
3J0vtBWWTwKUzwgvQrR4yM,honesty - (jersey club remix),pink sweat$,2020-08-12,29
3VxOgQ9o1aKonFx4d5lPR3,canceled,larray,2020-10-18,63
0buOF1gvLBupoSZSaycYWD,garage room freestyle (reel it in),number9ok,2020-10-14,47
3YgeIbA0dOVSOClZKUUxzz,good morning,mak sauce,2020-02-21,49
3CwcGdFwFF3DfHGGppdI4X,muwop (feat. gucci mane),latto,2020-07-30,62
1N5fKC1qRLHjsdNy39DPF6,donk,pronto spazzout,2020-03-06,30
4yzCXVdOKzt87w4bRItgNx,hugh hefner,ppcocaine,2020-09-11,62
4Hpib09wXgD84w4uwTPnYD,tap in,saweetie,2020-06-17,76
1xQ6trAsedVPCdbtDAmk0c,savage love (laxed - siren beat),jawsh 685,2020-06-11,85
0PF2jauXrGdbvyxqdgaBsh,we all tryna f*** - radio edit,ysl jalen,2020-07-22,34
0wYOlCybpxFc2azWLyYj0S,lets link,whoheem,2020-08-20,4
23LAuKGYTIW6rrCiZqvDZG,back it up,trap beckham,2020-02-28,44
2FVMbLuIxo0dz3KLXgN6Jh,24,money man,2020-03-02,71
1ENdcyhqdylaLsPVgB83qq,rags2riches (feat. atr son son),rod wave,2020-04-03,71
2DQNYMRjisN3KAPj1bEwOI,"lemonade (feat. gunna, don toliver & nav)",internet money,2020-08-29,66
3WnTQDd9A3bpBfzCziElU9,excitement,trippie redd,2020-05-15,70
4Oun2ylbjFKMPTiaSbbCih,wap (feat. megan thee stallion),cardi b,2020-08-07,87
2E5NGLtMqDmeijWcntP8Ca,ice (feat. morgenshtern),morgenshtern,2020-07-31,66
3nS9a01VvXHQriLqJYwRqG,dollaz on my head (feat. young thug),gunna,2020-05-22,78
4jQiLyv1wtOtgKVEiA7yuq,tatted up (feat. fabo),k camp,2020-04-24,55
1GcXzijYzyfMq6wryZjYW5,may i,flo milli,2020-07-24,71
5ROOB1w1JX6EE35Okui9YO,pressure,yungster jack,2020-02-10,50
6YWUJyXqTbYHEVRwKt1mfT,life of brick,brickboydior,2020-05-18,45
5H4mXWKcicuLKDn4Jy0sK7,time flies,drake,2020-05-01,72
1Zv2jT7iZu98Feqpzhn0nd,(i hope you) miss me,joseph black,2020-02-14,68
2r6OAV3WsYtXuXjvJ1lIDi,hello (feat. a boogie wit da hoodie),pop smoke,2020-07-20,84
5EzL7hGT9g2Tvqsy158Lu9,pussy talk,city girls,2020-06-20,73
2hfoyc7ve6xM4ZEiNIiU1B,gimme love,joji,2020-04-16,71
0DlO5ASl69vgPntQhqJcU3,play with me,foolio,2020-07-26,45
1qxnmVbl8To9W9BcbTS8yC,pj,ppcocaine,2020-08-02,62
5rZlwNFl01HqLWBQGryKSm,mood swings (feat. lil tjay),pop smoke,2020-07-03,83
1p6b5aovKRW4PC6zuH9FMt,wurk,huncho da rockstar,2020-04-15,34
2gSbNY2qXZ5mPVixrMaFrY,3 musketeers,nextyoungin,2020-07-07,0
4GurWpxvH3NoWz9f9wirPq,wet (she got that…),yfn lucci,2020-02-14,63
0qJeyYAgv6UpvewUxRXAhb,rags2riches 2 (feat. lil baby),rod wave,2020-08-07,75
5au5NgWCdev4WeLRB3YEOR,hood baby,kbfr,2020-04-03,62
3KMwf44uy6UkmXzJd6lPsG,all about cake,nodis,2020-07-11,0
0IGxkEgMeF1dwOSIj2IUrT,crisis,jasiah,2020-07-27,64
4w47S36wQGBhGg073q3nt7,tkn (feat. travis scott),rosalía,2020-05-28,78
6MTf9Q8yPuD8Vv2btCedNc,splash,championxiii,2020-04-08,54
2Xoc4gqPbBa3QHKpBLJ5l8,then leave (feat. queendom come),beatking,2020-03-27,65
1jaTQ3nqY3oAAYyCTbIvnM,whats poppin,jack harlow,2020-03-13,81
4JeMM66h7rFqgO94N3kgCP,the dice beat pt. 1,ricky desktop,2020-07-20,44
39Yp9wwQiSRIDOvrVg7mbk,the scotts,the scotts,2020-04-24,82
5RqR4ZCCKJDcBLIn4sih9l,party girl,staysolidrocky,2020-04-21,79
19pI9JdjoIQPhq9z8DBsR5,molly,tre savage,2020-03-18,9
3Q6F8RByyhRTJpRtZLY3cg,whats poppin,jack harlow,2020-01-21,24
4zTPYAf5scZdp0LnwPPeWK,deep end freestyle,sleepy hallow,2020-04-03,69
4NhDYoQTYCdWHTvlbGVgwo,gooba,6ix9ine,2020-05-08,73
2WHUGBZNO2jhSzc5PHr2Li,stay in my arms,dubskie,2020-07-29,13
2ajzBr7vwHTEBeqDzcsNRC,that way - bonus track,lil uzi vert,2020-03-06,69
7nJWotqUUPhVaCAOov6qGp,never met!,cmten,2020-05-01,1
4oT5k8Fwcc32vft60fxp9G,whip out the stick,pyt. ny,2020-04-27,47
2alc8VZAzDgdAsL2QMk3hu,skechers,dripreport,2020-01-12,75
76MjtLfZoTNc3BDqUVjuRH,patek,future,2020-07-30,64
7DmxvWVgNYcm9uqknWGi7m,bitch i am up,lifs_a_trip,2020-03-27,17
222CYzFdozaJ8D7TL0Eo0u,the mop,tisakorean,2020-01-24,46
527k23H0A4Q0UJN3vGs0Da,after party,don toliver,2020-03-13,82
1E3VQQWFQAPJkXfYHjqWoI,captain hook,megan thee stallion,2020-03-06,73
6Juv5N0dNU1imms9c9u1dA,papi chulo,octavian,2020-03-13,76
7fEoXCZTZFosUFvFQg1BmW,took her to the o,king von,2020-03-06,76
4dPVmeisPfQrLcjx0Wz1KW,jojo pose,apollo fresh,2020-01-11,68
2rRJrJEo19S2J82BDsQ3F7,falling,trevor daniel,2020-03-26,76
